colname	inferred_type	value	count	proportion
specialized_diet_other_restrictions_not_described_here	numeric	(0, 1.34, 2)	NA	standard deviation: 0.92
specialized_diet_paleodiet_or_primal_diet	numeric	(0, 1.31, 2)	NA	standard deviation: 0.94
specialized_diet_raw_food_diet	numeric	(0, 1.31, 2)	NA	standard deviation: 0.95
specialized_diet_westenprice_or_other_lowgrain_low_processed_fo	numeric	(0, 1.33, 2)	NA	standard deviation: 0.93
tonsils_removed	numeric	(0, 0.31, 2)	NA	standard deviation: 0.54
alcohol_frequency	numeric	(0, 1.72, 5)	NA	standard deviation: 1.36
artificial_sweeteners	numeric	(0, 2.65, 5)	NA	standard deviation: 2.36
cosmetics_frequency	numeric	(0, 1.39, 5)	NA	standard deviation: 1.72
exercise_frequency	numeric	(0, 2.71, 5)	NA	standard deviation: 1.08
fermented_plant_frequency	numeric	(0, 2.09, 5)	NA	standard deviation: 1.95
flossing_frequency	numeric	(0, 2.5, 5)	NA	standard deviation: 1.5
frozen_dessert_frequency	numeric	(0, 1.91, 5)	NA	standard deviation: 1.86
fruit_frequency	numeric	(0, 3.25, 5)	NA	standard deviation: 1.43
high_fat_red_meat_frequency	numeric	(0, 2.14, 5)	NA	standard deviation: 1.82
homecooked_meals_frequency	numeric	(0, 3.76, 5)	NA	standard deviation: 1.03
meat_eggs_frequency	numeric	(0, 3.4, 5)	NA	standard deviation: 1.27
milk_cheese_frequency	numeric	(0, 2.93, 5)	NA	standard deviation: 1.66
milk_substitute_frequency	numeric	(0, 2.19, 5)	NA	standard deviation: 2.05
olive_oil	numeric	(0, 3.21, 5)	NA	standard deviation: 1.42
one_liter_of_water_a_day_frequency	numeric	(0, 3.57, 5)	NA	standard deviation: 1.26
pool_frequency	numeric	(0, 0.8, 5)	NA	standard deviation: 1.04
poultry_frequency	numeric	(0, 2.72, 5)	NA	standard deviation: 1.57
prepared_meals_frequency	numeric	(0, 2.41, 5)	NA	standard deviation: 1.63
probiotic_frequency	numeric	(0, 2.24, 5)	NA	standard deviation: 2.02
ready_to_eat_meals_frequency	numeric	(0, 1.77, 5)	NA	standard deviation: 1.95
red_meat_frequency	numeric	(0, 2.47, 5)	NA	standard deviation: 1.68
salted_snacks_frequency	numeric	(0, 2.38, 5)	NA	standard deviation: 1.73
seafood_frequency	numeric	(0, 2.39, 5)	NA	standard deviation: 1.67
smoking_frequency	numeric	(0, 0.23, 5)	NA	standard deviation: 0.9
sugar_sweetened_drink_frequency	numeric	(0, 1.52, 5)	NA	standard deviation: 2.07
sugary_sweets_frequency	numeric	(0, 2.67, 5)	NA	standard deviation: 1.69
teethbrushing_frequency	numeric	(0, 3.94, 5)	NA	standard deviation: 0.41
vegetable_frequency	numeric	(0, 3.72, 5)	NA	standard deviation: 1.02
vitamin_b_supplement_frequency	numeric	(0, 2.02, 5)	NA	standard deviation: 2.13
